daysSinceInfection1,county,state,state code,cases,deaths,avg rate of infection,avg rate of death,population,avgTemp,avgPrecip,percentage of smokers,CO 2nd Max 1-hr,CO 2nd Max 8-hr,NO2 98th Percentile 1-hr,NO2 Mean 1-hr,Ozone 2nd Max 1-hr,Ozone 4th Max 8-hr,PM2.5 98th Percentile 24-hr,PM2.5 Weighted Mean 24-hr,PM10 2nd Max 24-hr,PM10 Mean 24-hr
36,Prince William,Virginia,VA,582,1,16.16666667,0.027777778,470335,54.1,44.3,13%,1.4,1.1,24,4,0.07,0.06,.,.,.,.
41,Rockingham,Virginia,VA,69,0,1.682926829,0,81948,54.1,44.3,15%,1.4,1.1,38,9,0.06,0.055,18,7.1,.,.
32,Stafford,Virginia,VA,120,1,3.75,0.03125,152882,54.1,44.3,15%,1.4,1.1,.,.,0.08,0.059,.,.,16,9
32,Benton,Washington,WA,284,34,8.875,1.0625,204390,47.7,38.4,13%,1.45,1.05,.,.,0.07,0.061,.,.,.,.
44,Chelan,Washington,WA,63,6,1.431818182,0.136363636,77200,47.7,38.4,13%,1.45,1.05,.,.,.,.,.,.,.,.
49,King,Washington,WA,4811,322,98.18367347,6.571428571,2252782,47.7,38.4,9%,1.4,1.1,57,18,0.08,0.055,20,8.3,22,10
38,Skagit,Washington,WA,218,6,5.736842105,0.157894737,129205,47.7,38.4,13%,1.45,1.05,.,.,0.05,0.04,12,5.5,.,.
87,Snohomish,Washington,WA,2031,85,23.34482759,0.977011494,822083,47.7,38.4,13%,1.45,1.05,.,.,.,.,28,8.5,.,.
53,Spokane,Washington,WA,297,17,5.603773585,0.320754717,522798,47.7,38.4,14%,1.45,1.05,.,.,0.07,0.057,25,7.5,87,20
37,Thurston,Washington,WA,86,1,2.324324324,0.027027027,290536,47.7,38.4,13%,1.5,1,.,.,0.06,0.052,.,.,.,.
38,Whatcom,Washington,WA,271,25,7.131578947,0.657894737,229247,47.7,38.4,14%,1.45,1.05,.,.,0.06,0.044,12,4.6,.,.
36,Yakima,Washington,WA,707,29,19.63888889,0.805555556,250873,47.7,38.4,14%,1.45,1.05,.,.,.,.,37,9.8,.,.
